edition_key,contributor_name,contributor_role,by_statement,translated_from,translation_of
OL51160247M,,,,eng,
OL26934543M,,,Adam Silvera,,
OL24928761M,,,by Michelle Reid,,
OL47305055M,Лі Бардуґо,Author name as appears on this edition,,eng,Ruin and Rising
OL47305055M,Єлена Даскал,Translator,,eng,Ruin and Rising
OL35298409M,,,,eng,Ruin and Rising
OL48061118M,Renato Fratini,Cover Art,,,
OL7257764M,Renato Fratini,Cover Art,,,
OL3247762M,,,Victoria Holt.,,
OL20938146M,Renato Fratini,Cover Art,(by) Victoria Holt.,,
OL5217884M,,,[by] Victoria Holt.,,
OL20193803M,,,[översättning av Susanne Sundgren].,,
OL51713210M,Vitor Martins,Translator,,eng,They Both Die at the End
OL32975898M,,,Published by HarperTeen,,
OL26926650M,,,Adam Silvera,,
OL6899242M,,,Linda Howard.,,
OL28175217M,,,,eng,Ruin and Rising
OL32367805M,,,Viktoria Holt. [Dt. Übers. von Karin S. Krausskopf],,
OL4073997M,,,[by] Victoria Holt.,,
OL22305021M,,,Linda Howard.,,
OL23244630M,,,Linda Howard.,,
OL6794659M,,,Linda Howard.,,
OL10748522M,,,,eng,The Bellini Bride
OL35382144M,,,,eng,Ruin and Rising
OL29784685M,David Widger,Prepared by,,,
OL29785474M,David Widger,Prepared by,,,
OL29787877M,Owen Smit,Editor,,,
OL29796341M,Joni Njl,Illustrator,,,
OL27037305M,,,Edith Wharton ; [edited by Philip M. Parker],,
OL17189282M,Anita Shreve,Foreword,,,
OL12667153M,,,,eng,Ethan Frome
OL26573501M,,,by Edith Wharton ; with an introduction by Mrs. Wharton. --,,
OL11780246M,Christina Tumminello,Introduction,,,
OL26581581M,Elizabeth Klett,Narrator,,,
OL26276765M,Emanuela Dal Fabbro,Translator,Edith Wharton ; a cura di Cristina Giorcelli ; traduzione di Emanuela Dal Fabbro,,
OL22859658M,,,by Edith Wharton ; with an introduction written for this edition.,,
OL3954704M,,,Edith Wharton.,,
OL16271475M,,,Edith Wharton.,,
OL23046038M,,,Edith Wharton.,,
OL5791635M,,,With a foreword and a study guide by Helen T. Munn.,,
OL17891172M,Bernard De Voto,Introduction,by Edith Wharton ; with an introd. by Bernard De Voto.,,
OL19061388M,,,Aidisi Huadun zhu ; Wang Zhen'guo yi.,,
OL27037304M,,,Edith Wharton ; [edited by Philip M. Parker],,
OL27037302M,,,Edith Wharton ; [edited by Philip M. Parker],,
OL27037303M,,,Edith Wharton ; [edited by Philip M. Parker],,
OL27751314M,Carol J. Singley,Editor,Edith Wharton ; edited by Carol J. Singley,,
OL25998051M,Elizabeth Ammons,Introduction,,,
OL26581584M,Bob Neufeld,Narrator,,,
OL26580885M,,,,eng,Ethan Frome
OL6356100M,,,by Edith Wharton.,,
OL23266683M,Bruce Rogers,Designer,"by Edith Wharton, with an introduction written for this edition.",,
OL13965782M,,,by Edith Wharton.,,
OL23181392M,,,Edith Wharton ; translated [sic] [edited] with an introduction and notes by Elaine Showalter.,,
OL7384095M,Elaine Showalter,Editor,Edited with an Introduction and Notes by Elaine Showalter,,
OL3115860M,,,by Edith Wharton.,,
OL3427232M,Elizabeth Ammons,Introduction,Edith Wharton ; with an introduction and notes by Elizabeth Ammons.,,
OL8364736M,Scott Brick,Narrator,,,
OL24721275M,,,Prologo de Elbio Rodriguez Barilari,,
OL24056349M,,,by Edith Wharton ; with water-colour drawings by Henry Varnum Poor and an introduction by Clifton Fadiman.,,
OL6804701M,,,Edith Wharton.,,
OL7199424M,Bruce Rogers,Designer,"by Edith Wharton, with an introduction written for this edition.",,
OL2026897M,,,by Edith Wharton ; introduction by Connie Bellamy.,,
OL24206399M,Cynthia Griffin Wolff,Introduction,Edith Wharton. With an introd. by Cynthia Griffin Wolff.,,
OL2384396M,Alfred Kazin,Afterword,by Edith Wharton ; with an afterword by Alfred Kazin.,,
OL23266589M,,,Edith Wharton.,,
OL6886994M,,,Edith Wharton ; edited by Robin Peel.,,
OL2724968M,,,Edith Wharton ; introduction by Doris Grumbach.,,
OL814700M,,,Edith Wharton ; edited with an introduction by Elaine Showalter.,,
OL1001093M,Alfred Kazin,Afterword,Edith Wharton ; with an afterword by Alfred Kazin.,,
OL24368384M,,,With an introd. by Mrs. Wharton,,
OL24925557M,,,Edith Wharton ; with an introduction by Cynthia Griffin Wolff,,
OL24376168M,,,With an introd. by Mrs. Wharton,,
OL22998487M,,,Nora Roberts ; [perevod s angliĭskogo I. Faĭnshteĭn].,,
OL1451947M,,,by Robyn Donald.,,
OL24373679M,,,Robyn Donald,,
OL14981069M,,,Violet Winspear.,,
OL17912734M,,,Violet Winspear.,,
OL15552433M,,,Edith Wharton.,,
OL13537670M,,,With an introd. by Mrs. Wharton.,,
OL1862112M,,,Edith Wharton.,,
OL3318205M,Lynn Miller,Contributor,Edith Wharton ; supplementary materials written by Lynn Miller.,,
OL27148333M,,,Nora Roberts,,
OL24961261M,,,Nora Roberts,,
OL31955745M,,,Nora Roberts ; traduit de l'américain par Véronique Fourneaux,,
OL20086036M,,,Edith Wharton ; przełożyła Urszula Łada-Zabłocka ; słowo wstępne Wiesław Furmańczyk.,,
OL2341636M,,,by Edith Wharton.,,
OL3548350M,,,Edith Wharton ; with an introduction by Cynthia Griffin Wolff.,,
OL18360971M,,,by Edith Wharton ; with an introduction by Mrs. Wharton.,,
OL5606088M,,,[edited by] Blake Nevius.,,
OL3575324M,,,Edith Wharton ; edited by Denise D. Knight.,,
OL6796290M,,,Edith Wharton ; introduction by Elizabeth Strout ; notes by Julia Ehrhardt.,,
OL21849699M,,,With an introd. by Mrs. Wharton.,,
OL7577297M,Anita Shreve,Foreword,,,
OL1093019M,,,"Edith Wharton ; edited by Kristin O. Lauer, Cynthia Griffin Wolff.",,
OL7215847M,,,by Edith Wharton,,
OL6368629M,,,by Edith Wharton: with an introduction by Bernard De Voto.,,
OL34581M,,,Nora Roberts.,,
OL20931825M,,,Nora Roberts.,,
OL14976619M,,,by Violet Winspear.,,
OL29216968M,,,Carole Mortimer,,
OL26344115M,,,Carole Mortimer,,
OL61212700M,,,,eng,The Notebook
OL28297420M,,,Nicholas Sparks,,
OL986082M,,,Nicholas Sparks.,,
OL22413121M,Bettina Runge,Translator,Nicholas Sparks ; aus dem Amerikanischen von Bettina Runge.,,
OL995215M,,,Nicholas Sparks.,,
OL20940837M,,,Nicholas Sparks.,,
OL21871902M,,,Amanda Browning.,,
OL24223088M,,,Carole Mortimer.,,
OL21305823M,,,by Jane Aiken Hodge.,,
OL26376514M,,,Betty Neels,,
OL17316099M,,,Betty Neels.,,
OL2526559M,,,Penny Jordan.,,
OL32721260M,Barry Bostwick,Narrator,,,
OL21306628M,,,(by) Jane Aiken Hodge.,,
OL3284222M,,,[Betty Neels].,,
OL61242874M,Viviane Diniz,Translator,,eng,The Notebook
OL31912380M,,,Nicholas Sparks,,
OL13433069M,Lisa Morpurgo,Translator,,,
OL22017281M,,,Nicholas Sparks.,,
OL27070727M,,,Thomas Malory ; [edited by Philip M. Parker],,
OL32358708M,,,by Sir Thoms Malory,,
OL60495088M,Αλέξανδρος Κοσματόπουλος,Translator,,enm,Le Morte d'Arthur
OL60495019M,Αλέξανδρος Κοσματόπουλος,Translator,,enm,La Morte d'Arthur
OL5066099M,,,by Sir Thomas Malory ; edited with an introd. by Eugène Vinaver.,,
OL17721568M,Roger Lancelyn Green,Retold by,"Newly retold out of the old romances by Roger Lancelyn Green, and illustrated by Lotte Reiniger.",,
OL6072652M,,,"Edited by Sidney Lanier, illustrated by Florian.",,
OL6203670M,Eugène Vinaver,Editor,Edited with an introd. and notes by Eugène Vinaver.,,
OL5259725M,,,"edited, with an introduction, notes and glossary, by D. S. Brewer.",,
OL14385404M,,,"edited, with an introduction, notes, and glossary by D.S. Brewer.",,
OL17626888M,,,made and edited by R.T. Davies,,
OL26692953M,Hedwig Lachmann,Translator,Übers. von Hedwig Lachmann. Mit einem Nachw. von Volker Mertens; Teilausg.,eng,Le Morte Darthur
OL26692953M,Volker Mertens,Afterword,Übers. von Hedwig Lachmann. Mit einem Nachw. von Volker Mertens; Teilausg.,eng,Le Morte Darthur
OL26692953M,Heiko Hortsch,Typesetter,Übers. von Hedwig Lachmann. Mit einem Nachw. von Volker Mertens; Teilausg.,eng,Le Morte Darthur
OL7933692M,Michael Senior,Editor,edited and abridged with an introduction by Michael Senior,,
OL13938245M,John Hampden,Selected by,by Sir Thomas Malory ; arranged by John Hampden.,,
OL6718026M,Ann D. Alexander,Illustrator,selected from Malorys Morte Darthur and illustrated by Ann D. Alexander ...,,
OL6421126M,Elinore Blaisdell,Illustrator,"[by] U. Waldo Cutler, illustrated by Elinore Blaisdell.",,
OL6421126M,U. Waldo Cutler,Editor,"[by] U. Waldo Cutler, illustrated by Elinore Blaisdell.",,
OL6663751M,,,by Sir Thomas Malory,,
OL13995009M,Rasmus B. Anderson,Editor,"Edited from the text of the edition of 1634, with an introd. by Ernest Rhys. Rasmus B. Anderson, editor in chief; J.W. Buel, managing editor.",,
OL13995009M,J.W. Buel,Editor,"Edited from the text of the edition of 1634, with an introd. by Ernest Rhys. Rasmus B. Anderson, editor in chief; J.W. Buel, managing editor.",,
OL6938748M,Thomas Wright,Editor,"Compiled by Sir Thomas Malory, knt. Edited from the text of the edition of 1634, with introduction and notes by Thomas Wright ...",,
OL6390316M,Aileen Bagot,Retold by,"told by Aileen Bagot, illustrated by Doris Pailthorpe.",,
OL6390316M,Doris Pailthorpe,Illustrator,"told by Aileen Bagot, illustrated by Doris Pailthorpe.",,
OL16184122M,,,by Sir Thomas Malory Knt. ; with illustrations after water-colour drawings by W.Russell Flin  o.,,
OL20262458M,Ivy Ellis,Illustrator,,,
OL23384844M,Clarence Griffin Child,Editor,"ed. with an introductory sketch and glossary, by Clarence Griffin Child ...",,
OL24460908M,Dorsey Armstrong,Translator,edited and translated by Dorsey Armstrong,,
OL24460908M,Dorsey Armstrong,Editor,edited and translated by Dorsey Armstrong,,
OL20937635M,,,adapted by Henry Frith ; illus. by Frank E. Schoonover.,,
OL6072653M,,,"Edited by Sidney Lanier, illustrated by Florian.",,
OL19356093M,D.S. Brewer,Editor,"Edited, with an introd., notes and glossary, by D.S. Brewer",,
OL24769150M,,,[Adapted by William Kottmeyer; Illustrated by Murray McKeehan],,
OL23756520M,Roger Lancelyn Green,Retold by,"newly retold out of the old romances by Roger Lancelyn Green, and illustrated by Lotte Reiniger",,
OL3561302M,Stephen H.A. Shepherd,Editor,Sir Thomas Malory ; edited by Stephen H.A. Shepherd.,,
OL16473108M,Geoffrey H. Crump,Editor,edited with an introduction by Geoffrey H. Crump.,,
OL13783051M,Severin Rüttgers,Translator,"Uebertragen aus dem ""noble and joyous book entytled Le Morte Darthur"" durch Severin Rüttgers. Satz und Druck von W. Drugulin",,Le morte d'Arthur
OL19634311M,Aubrey Beardsley,Illustrator,the text as written by Sir Thomas Malory and imprinted by William Caxton at Westminister the year 1485 and now spelled in modern style ; with an introduction by Professor [John] Rhys ; and embellished with many original designs by Aubrey Beardsley.,,
OL18021919M,Ernest Rhys,Editor,edited by Ernest Rhys,,
OL259137M,Devorah ʻOmer,Translator,tirgum ṿe-ʻibud: Devorah ʻOmer,,Morte d'Arthur
OL17773677M,Douglas W. Swiggett,Editor,"ed., with introduction, notes, and glossary, by Douglas W. Swiggett.",,
OL23554872M,Dorsey Armstrong,Translator,edited and translated by Dorsey Armstrong,,
OL23554872M,Dorsey Armstrong,Editor,edited and translated by Dorsey Armstrong,,
OL24115644M,Dorsey Armstrong,Translator,edited and translated by Dorsey Armstrong.,,
OL24115644M,Dorsey Armstrong,Editor,edited and translated by Dorsey Armstrong.,,
OL26703441M,,,"comp. by Thomas Malory ; ed. from the text of the ed. of 1634, with introd. and notes by Thomas Wright",,
OL6072094M,,,[by] Mary Macleod; illustrated by Alexander Dobkin.  Introd. by May Lamberton Becker.,,
OL5688425M,Eugene Vinaver,Editor,Edited with an introd. and notes by Eugene Vinaver.,,
OL20937768M,Elizabet Lodor Merchant,Compiler,based on Sir Thomas Malory's Morte d' Arthur ; compiled and arranged by Elizabet Lodor Merchant,,
OL5614287M,,,"Edited, with an introd., notes, and glossary, by D.S. Brewer.",,
OL2410128M,,,edited by Sidney Lanier.,,
OL20938406M,,,"Edited by Sidney Lanier, illustrated by Florian.",,
OL5578706M,,,made and edited by R. T. Davies,,
OL7395822M,Neil Ripley Ker,Editor,,,
OL17015085M,William Ernest Chapman,Illustrator,retold from Le morte d'Arthur of Sir Thomas Malory and the original stories by Mary Blackwell Sterling; illustrations by William Ernest Chapman,fre,Le morte d'Arthur
OL17015085M,Mary Blackwell Sterling,Retold by,retold from Le morte d'Arthur of Sir Thomas Malory and the original stories by Mary Blackwell Sterling; illustrations by William Ernest Chapman,fre,Le morte d'Arthur
OL6235639M,Brian Kennedy Cooke,Editor,"by Brian Kennedy Cooke. Illus. in the text from Tavola rotonda (Cod. pal. 556) by courtesy of the National Library, Florence. Front. by D.S. Cammell, after the design by Mary Colley.",,
OL6235639M,D.S. Cammell,Frontispiece,"by Brian Kennedy Cooke. Illus. in the text from Tavola rotonda (Cod. pal. 556) by courtesy of the National Library, Florence. Front. by D.S. Cammell, after the design by Mary Colley.",,
OL6235639M,Mary Colley,Designer,"by Brian Kennedy Cooke. Illus. in the text from Tavola rotonda (Cod. pal. 556) by courtesy of the National Library, Florence. Front. by D.S. Cammell, after the design by Mary Colley.",,
OL6059120M,,,"by Syr Thomas Malory, Knyght",,
OL16661289M,Aubrey Beardsley,Illustrator,"The text as written by Sir Thomas Malory, and imprinted by William Caxton at Westminster the year MCCCCLXXXC, and now spelled in modern style, ... embellished with many original designs by Aubrey Beardsley. With an introduction by professor John Rhys. And a note on Aubrey Beardsley by Aymer Vallance.",,Morte Darthur
OL16661289M,John Rhys,Introduction,"The text as written by Sir Thomas Malory, and imprinted by William Caxton at Westminster the year MCCCCLXXXC, and now spelled in modern style, ... embellished with many original designs by Aubrey Beardsley. With an introduction by professor John Rhys. And a note on Aubrey Beardsley by Aymer Vallance.",,Morte Darthur
OL16661289M,Aymer Vallance,Notes by,"The text as written by Sir Thomas Malory, and imprinted by William Caxton at Westminster the year MCCCCLXXXC, and now spelled in modern style, ... embellished with many original designs by Aubrey Beardsley. With an introduction by professor John Rhys. And a note on Aubrey Beardsley by Aymer Vallance.",,Morte Darthur
OL14636680M,Clarence Griffin Child,Editor,"from Malory's King Arthur, with Caxton's preface; ed. with an introductory sketch and glossary, by Clarence Griffin Child",,
OL20108211M,,,by Sir Thomas Malory,,
OL8063075M,Charles Morris,Retold by,,,
OL6980966M,,,"Comp. by Sir Thomas Malory, knt., and ed. from the text of the edition of 1634, with an introduction by Ernest Rhys. Hon. Rasmus B. Anderson, LL.D., editor in chief; J. W. Buel, managing editor.",,
OL9646932M,Norma Lorre Goodrich,Introduction,,,
OL23079733M,,,by Keith Baines ; introduction by Robert Graves,,
OL21487537M,Ernest Rhys,Introduction,"edited, with general introduction to the ""Camelot Classics"", by Ernest Rhys.",,
OL20427915M,,,"introduction, traduction et notes par Marguerite Marie Dubois.",,
OL14474497M,,,"edited, with general introduction to the ""Camelot series,"" by Ernest Rhys.",,
OL14260272M,Ernest Rhys,Editor,Ed. by Ernest Rhys.,,
OL7720478M,,,edited by R.M. Lumiansky,,
OL23767038M,Chase Horton,Editor,"Sir Thomas Malory ; from the Winchester MSS. of Thomas Malory and other sources by John Steinbeck, edited by Chase Horton.",,
OL7038878M,,,by Sir Thomas Malory.,,
OL20630621M,Lettice Sandford,Drawings,with drawings by Lettice Sandford.,,
OL19611535M,Lettice Sandford,Drawings,[drawings by Lettice Sandford],,
OL13326813M,,,,enm,Le Morte d'Arthur
OL11928201M,William Edward Mead,Editor,,,
OL7235778M,William Edward Mead,Editor,"edited with introd., notes and glossary by William Edward Mead",,
OL6552096M,Charles Morris,Retold by,By Charles Morris ...,,
OL17605759M,,,"Compiled by Sir Thomas Malory...and edited from the text of the edition of 1634, with an introduction by Ernest Rhys ; Hons. Rasmus B. Anderson.",,
OL468673M,Ernest Rhys,Introduction,"edited, with general introduction to the Camelot series, by Ernest Rhys.",,
OL18283214M,Eugène Vinaver,Editor,edited by Eugène Vinaver,,
OL20108216M,Eugène Vinaver,Editor,by Sir Thomas Malory ; edited by Eugène Vinaver.,,
OL18358570M,R T Davies,Selected by,made and ed. by R T Davies,,
OL18358570M,R T Davies.,Editor,made and ed. by R T Davies,,
OL16972995M,,,by Sir Thomas Malory ; translated from the French by William Caxton.,,
OL7096845M,,,by Sir Thomas Malory ; [with an introduction by Ernest Rhys],,
OL13988169M,,,edited by Janet Cowen ; with an introduction by John Lawlor.,,
OL11437976M,Charles Morris,Retold by,,,
OL10520886M,William Edward Mead,Editor,,,
OL16473101M,,,"edited with introd., notes and glossary by William Edward Mead.",,
OL6551973M,William Edward Mead,Editor,"ed., with introduction, notes, and glossary, by William Edward Mead ...",,
OL21086357M,Charles Morris,Retold by,edited by Rupert S. Holland with illustrations by Lancelot Speed.,,
OL18361171M,,,"compiled by Sir Thomas Malory and edited from the text of the edition of 1634 ; R.B. Anderson, editor in chief.",,
OL23381767M,,,"Comp. by Sir Thomas Malory, knt., and ed. from the text of the edition of 1634, with an introduction by Ernest Rhys. Hon. Rasmus B. Anderson, LL.D., editor in chief; J. W. Buel, managing editor.",,
OL14829057M,,,"compiled by Sir Thomas Malory ; and edited from the text of the edition of 1634, with an introduction by Ernest Rhys ..",,
OL7248123M,Ernest Rhys,Introduction,"edited, with general introduction to the ""Camelot Classics,"" by Ernest Rhys.",,
OL12072550M,,,by Jean MacVean ; after Malory,,
OL20822962M,,,arranged by B.K. Cooke,,
OL18421772M,Eugène Vinaver,Editor,Edited by Eugène Vinaver,,
OL6600186M,,,"With an introduction and notes, by Robert Southey, esq. ...",,
OL18331314M,Robert Southey,Introduction,with an introduction and notes by Robert Southey,,
OL18331314M,Robert Southey,Notes by,with an introduction and notes by Robert Southey,,
OL16473333M,Ernest Rhys,Editor,by Sir Thomas Malory ; edited by Ernest Rhys,,
OL14567130M,,,"with an essay on Malory's prose style by Andrew Lang. Vol.1, Text.",,
OL24212293M,,,Sir Thomas Malory ; edited by Janet Cowen ; with an introduction by John Lawlor.,,
OL18219868M,,,Thomas Malory.,,
OL1433603M,,,Sir Thomas Malory ; introduction by Elizabeth Bryan.,,
OL17721569M,,,by Sir Thomas Malory.,,
OL19057568M,,,"with illustrations after water colour drawings by W. Russell Flint. Vol.2, book 10 - 21.",,
OL16573534M,,,"by Sir Thomas Malory, knt.",,
OL16667151M,,,"edited, abridged, and with an introduction by Norma Lorre Goodrich",,
OL16545415M,,,by Sir Thomas Malory ; with illustrations after water-colour drawings by W. Russell Flint.,,
OL5866983M,,,A new rendition by Keith Baines. Introd. by Robert Graves.,,
OL16618190M,,,"the text of Caxton ed., with introduction, by Sir Edward Strachey, bart.",,
OL13905432M,,,"first printed by William Caxton ; now modernised, as to spelling and punctuation, by A.W. Pollard ; illustrated with wood engravings by Robert Gibbings.",,
OL13519122M,,,"edited, with an introduction by Sir Edward Strachey.",,
OL24509019M,,,"Sir Thomas Malory ; edited, abridged, and with an introduction by Norma Lorre Goodrich",,
OL14141534M,,,with an introd. by Sir Edward Strachey.,,
OL19467242M,,,the text as written by Sir Thomas Malory...  ; With an introduction byProfessor Rhys ; and embellished with many original designs by Aubrey Beardsley.,,
OL20394294M,,,by Sir Thomas Malory :,,
OL15468374M,,,"the original edition of Caxton revised for modern use, with an introduction, by Sir Edward Strachey.",,
OL6603056M,Alfred W. Pollard,Adaptation,abridged from Malory's Morte d'Arthur by Alfred W. Pollard. Illustrated by Arthur Rackham,,
OL6603056M,Arthur Rackham,Illustrator,abridged from Malory's Morte d'Arthur by Alfred W. Pollard. Illustrated by Arthur Rackham,,
OL7074646M,Alfred W. Pollard,Adaptation,abridged from Malory's Morte d'Arthur by Alfred W. Pollard. Illustrated by Arthur Rackham.,,
OL7074646M,Arthur Rackham,Illustrator,abridged from Malory's Morte d'Arthur by Alfred W. Pollard. Illustrated by Arthur Rackham.,,
OL14994506M,Mary MacLeod,Retold by,Retold in modern English by Mary MacLeod. With 16 pages of illus.; introductory remarks and descriptive captions by Basil Davenport,,
OL14994506M,Basil Davenport,Introduction,Retold in modern English by Mary MacLeod. With 16 pages of illus.; introductory remarks and descriptive captions by Basil Davenport,,
OL20850528M,,,"edited and abridged, with an introduction, by Michael Senior",,
OL23269712M,Michael Senior,Editor,"Sir Thomas Malory ; edited and abridged, with an introduction, by Michael Senior",,
OL22311042M,,,"edited and abridged, with an introduction, by Michael Senior.",,
OL23767031M,,,[by] Sir Thomas Malory.,,
OL16583326M,,,by Sir Thomas Malory.,,
OL3966975M,,,by Sir Thomas Malory ; edited by John Matthews ; illustrated by Anna-Marie Ferguson.,,
OL2656024M,,,by Sir Thomas Malory ; illustrated by Aubrey Beardsley.,,
OL16473121M,,,Sir Thomas Malory.,,
OL18770704M,,,"a rendition in modern idiom by Keith Baines, with an introduction by Robert Graves, decorative illustrations by Enrico Arno.",,
OL17606618M,,,"Sir Thomas Malory ; edited, abridged, and with an introduction by Norma Lorre Goodrich.",,
OL6669734M,,,by Sir Thomas Malory.,,
OL16795767M,,,Sir Thomas Malory ; introd. by John Rhys,,
OL24499132M,,,"Sir Thomas Malory ; the classic rendition by Keith Baines ; introduction by Robert Graves, and a new afterword by Christopher Cannon",,
OL21976956M,,,"Compiled by Sir Thomas Malory. Edited from the text of the edition of 1634, with introduction and notes by Thomas Wright.",,
OL19496400M,,,with an introduction by Professor Rhys ; and embellished with many original designs by Aubrey Beardsley.,,
OL18027718M,,,"by Sir Thomas Malory, knt. London, P.L. Warner, publisher to the Medici society ltd. [1920]",,
OL14567120M,,,by Syr Thomas Malory :,,
OL13806242M,,,by Sir Thomas Malory. Vol.2.,,
OL23131191M,,,edited and abridged with an introduction by Michael Senior.,,
OL18054277M,,,"the text of Caxton ; edited with an introduction, by Edward Strachey.",,
OL14353781M,,,"by Sir Thomas Malory, knt.",,
OL3784007M,Michael Senior,Editor,"Sir Thomas Malory ; edited and abridged, with an introduction, by Michael Senior",,
OL18192798M,Michael Senior,Editor,Sir Thomas Malory ; edited and abridged with an introduction by Michael Senior.,,
OL17180782M,Sue Bradbury,Revised by,revised and with an introduction by Sue Bradbury ; foreword by Kevin Crossley-Holland.,,
OL17180782M,Kevin Crossley-Holland,Foreword,revised and with an introduction by Sue Bradbury ; foreword by Kevin Crossley-Holland.,,
OL17180789M,Sue Bradbury,Introduction,revised and with an introduction by Sue Bradbury ; foreword by Kevin Crossley-Holland,,
OL17180789M,Kevin Crossley-Holland,Foreword,revised and with an introduction by Sue Bradbury ; foreword by Kevin Crossley-Holland,,
OL17180515M,,,arranged by Brian Kennedy Cooke.,,
OL7589406M,Keith Baines,Translator,,enm,
OL13574055M,,,by Sir Thomas Malory.,,
OL6347513M,,,[by] Sir Thomas Malory.,,
OL23767032M,,,Sir Thomas Malory.,,
OL794679M,,,Sir Thomas Malory ; illustrated by Aubrey Beardsley.,,
OL370693M,,,Sir Thomas Malory ; introduction by Elizabeth Bryan.,,
OL4603677M,,,Sir Thomas Malory.,,
OL4552978M,,,Sir Thomas Malory ; edited by P. J. C. Field.,,
OL23249432M,,,A rendition in modern idiom by Keith Baines. With an introd. by Robert Graves. Decorative illus. by Enrico Arno.,,
OL13439747M,,,Sir Thomas Malory.,,
OL5853416M,,,A rendition in modern idiom by Keith Baines. With an introd. by Robert Graves. Decorative illus. by Enrico Arno.,,
OL4408273M,,,Edited by Janet Cowen. With an introd. by John Lawlor.,,
OL13448133M,,,"Sir Thomas Malory's book of King Arthur and his noble knights of the Round table; the text of Caxton, edited, with an introd. by Sir Edward Strachey.",,
OL13630785M,,,"the text of Caxton, edited, with an introd. by Sir Edward Strachey.",,
OL22350127M,,,"the text of Caxton, edited with an introduction, by Sir Edward Strachey, Bart.",,
OL6633760M,,,"by Sir Thomas Malory, knt.",,
OL16582633M,,,"edited, with an introduction by Sir Edward Strachey.",,
OL23767044M,,,"Sir Thomas Malory ; ed., with an introduction , by Sir Edward Strachey, bart ...",,
OL22841992M,,,"Sir Thomas Malory ; edited, with introduction and notes, by P.J.C. Field.",,
OL21202282M,,,compiled by Sir Thomas Malory ; edited from the text of the edition of 1634 with introduction and notes by Thomas Wright. Vol.3.,,
OL18102042M,,,"Compiled by Sir Thomas Malory, knt. Ed. from the text of the edition of 1634 ; with introduction and notes, by Thomas Wright.",,
OL24155502M,Alfred W. Pollard,Adaptation,abridged from Malory's Morte D'Arthur by Alfred W. Pollard ; illustrated by Arthur Rackham,,
OL24155502M,Arthur Rackham,Illustrator,abridged from Malory's Morte D'Arthur by Alfred W. Pollard ; illustrated by Arthur Rackham,,
OL7109822M,Alfred W. Pollard,Adaptation,abridged from Malory's Morte d'Arthur by Alfred W. Pollard ; illustrated by Arthur Rackham.,,
OL7109822M,Arthur Rackham,Illustrator,abridged from Malory's Morte d'Arthur by Alfred W. Pollard ; illustrated by Arthur Rackham.,,
OL20683218M,Alfred W. Pollard,Adaptation,abridged from Malory's Morte d'Arthur by Alfred W. Pollard ; illustrated by Arthur Rackham,,
OL20683218M,Arthur Rackham,Illustrator,abridged from Malory's Morte d'Arthur by Alfred W. Pollard ; illustrated by Arthur Rackham,,
OL18335247M,Alfred W. Pollard,Adaptation,abridged from Malory's Morte d'Arthur by Alfred W. Pollard ; illustrated by Arthur Rackham.,,
OL18335247M,Arthur Rackham,Illustrator,abridged from Malory's Morte d'Arthur by Alfred W. Pollard ; illustrated by Arthur Rackham.,,
OL17180781M,Sue Bradbury,Revised by,revised and with an introduction by Sue Bradbury ; foreword by Kevin-Crossley Holland.,,
OL17180781M,Kevin-Crossley Holland,Foreword,revised and with an introduction by Sue Bradbury ; foreword by Kevin-Crossley Holland.,,
OL8620294M,Arthur Rackham,Illustrator,,,
OL24354315M,Wim Tigges,Translator,Thomas Malory; vert. [uit het middelengels gebaseerd op de oorspr. Franse tekst door en met naw. van]: Wim Tigges ; [voorw. van William Caxton],enm,Le morte d'Arthur
OL24354315M,William Caxton,Foreword,Thomas Malory; vert. [uit het middelengels gebaseerd op de oorspr. Franse tekst door en met naw. van]: Wim Tigges ; [voorw. van William Caxton],enm,Le morte d'Arthur
OL23767030M,Catherine Donaldson,Illustrator,"Sir Thomas Malory ; with illus. designed and engraved on wood, by Catherine Donaldson.",,
OL18787287M,Keith Baines,Retold by,a rendition in modern idiom by Keith Baines ; with an introduction by Robert Graves ; decorative illustrations by Enrico Arno.,,
OL18787287M,Robert Graves,Introduction,a rendition in modern idiom by Keith Baines ; with an introduction by Robert Graves ; decorative illustrations by Enrico Arno.,,
OL18787287M,Enrico Arno,Illustrator,a rendition in modern idiom by Keith Baines ; with an introduction by Robert Graves ; decorative illustrations by Enrico Arno.,,
OL18487838M,A.T. Martin,Introduction,"ed. with introductions, notes, and glossary by A.T. Martin.",,
OL18487838M,A.T. Martin,Notes by,"ed. with introductions, notes, and glossary by A.T. Martin.",,
OL18487838M,A.T. Martin,Glossary,"ed. with introductions, notes, and glossary by A.T. Martin.",,
OL18667725M,A.T. Martin,Introduction,"edited, with introd., notes, and glossary, by A.T. Martin.",,
OL18667725M,A.T. Martin,Notes by,"edited, with introd., notes, and glossary, by A.T. Martin.",,
OL18667725M,A.T. Martin,Glossary,"edited, with introd., notes, and glossary, by A.T. Martin.",,
OL18361187M,,,with introduction and notes by Thomas Wright.,,
OL13936235M,,,edited and abridged with an introduction by Michael Senior.,,
OL15241097M,,,"the text as written by Sir Thomas Malory, and imprinted by William Caxton at Westminster the year 1485, and now spelled in modern style, embellished with many original designs by Aubrey Beardsley ; with an introduction by John Rhys ; and a note on Aubrey Beardsley by Aymer Vallance",,
